rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
80,mp-754513,Zr6 Mn6 O18,161,trigonal,0.9999998807907104,0.985153058023929,0.0,0.985153058023929,0.985153058023929,-3.058372138586206,0.042826420999995,2.5635,6,Mn,0.942326637023934,False,hybrid=0.985; hull=0.042826420999995; magnetic=Mn
81,mp-756227,Li4 V8 F28,15,monoclinic,0.9113544821739196,0.967118867625167,0.0,0.967118867625167,0.967118867625167,-3.203560987833333,0.025466210499994,2.12,8,V,0.941652657125173,False,hybrid=0.967; hull=0.025466210499994; magnetic=V
82,mp-754418,Co12 O2 F22,38,orthorhombic,0.3958730399608612,0.982009120023828,0.0,0.982009120023828,0.982009120023828,-2.195473725,0.040440313888891,0.556,12,Co,0.941568806134937,False,hybrid=0.982; hull=0.040440313888891; magnetic=Co
83,mp-779605,Cr8 O2 F22,1,triclinic,0.9999995231628418,0.9777951877710785,0.0,0.9777951877710785,0.9777951877710785,-2.8797456528125,0.036720516520835,0.8261000000000001,8,Cr,0.9410746712502436,False,hybrid=0.978; hull=0.036720516520835; magnetic=Cr
84,mp-775287,Fe20 O2 F38,38,orthorhombic,0.0100481081753969,0.9611378403496232,0.0,0.9611378403496232,0.9611378403496232,-2.5238237110000012,0.020255108685184,1.4987,20,Fe,0.9408827316644393,False,hybrid=0.961; hull=0.020255108685184; magnetic=Fe
85,mp-1094044,Sr1 Ca3 Mn4 O12,6,monoclinic,0.7858814597129822,0.9895507326140484,0.0,0.9895507326140484,0.9895507326140484,-2.4791402215862073,0.048917385142853,0.0,4,Mn,0.9406333474711953,False,hybrid=0.990; hull=0.048917385142853; magnetic=Mn
86,mp-1094111,Sr10 Fe10 O28,47,orthorhombic,0.0181652717292308,0.955692545181571,0.0,0.955692545181571,0.955692545181571,-2.273265949166667,0.015128824583332,0.0,10,Fe,0.940563720598239,False,hybrid=0.956; hull=0.015128824583332; magnetic=Fe
87,mp-755067,Cr4 O1 F11,3,monoclinic,0.9999992847442628,0.9776009031476501,0.0,0.9776009031476501,0.9776009031476501,-2.87936039125,0.037105778083335,0.7559,4,Cr,0.9404951250643151,False,hybrid=0.978; hull=0.037105778083335; magnetic=Cr
88,mp-1228836,Ba2 Fe24 O38,186,hexagonal,0.9972035884857178,0.9954503416690237,0.0,0.9954503416690237,0.9954503416690237,-1.73487444328125,0.055780827812498,1.1864,24,Fe,0.9396695138565256,False,hybrid=0.995; hull=0.055780827812498; magnetic=Fe
89,mp-1101512,Li4 Fe4 P8 O28,14,monoclinic,0.9998821020126344,0.9529862977026514,0.0,0.9529862977026514,0.9529862977026514,-2.511975480919912,0.013783898409091,2.6064,4,Fe,0.9392023992935604,False,hybrid=0.953; hull=0.013783898409091; magnetic=Fe
